asset_id,partition,gender_label,confidence_bucket,quality_score,full_hair_score,render_safe_score,coverage_ratio,bbox_width,bbox_height,crop_width,crop_height,render_safe_candidate,render_safe_flags,image_path,mask_path
celeba_full_hair_000023,train,male,high,1.0,1.0,1.0,0.364524,159,187,178,213,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000023.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000023_mask.png
celeba_full_hair_000024,train,female,high,1.0,1.0,1.0,0.380579,160,218,178,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000024.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000024_mask.png
celeba_full_hair_000025,train,male,high,1.0,1.0,1.0,0.199979,160,216,178,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000025.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000025_mask.png
celeba_full_hair_000026,train,female,high,1.0,1.0,1.0,0.232631,122,171,160,207,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000026.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000026_mask.png
celeba_full_hair_000028,train,female,high,1.0,1.0,1.0,0.190728,129,123,169,141,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000028.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000028_mask.png
celeba_full_hair_000029,train,male,high,1.0,1.0,1.0,0.267988,132,205,174,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000029.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000029_mask.png
celeba_full_hair_000030,train,female,high,1.0,1.0,1.0,0.251907,135,155,175,183,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000030.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000030_mask.png
celeba_full_hair_000034,train,female,high,1.0,1.0,1.0,0.288321,147,164,177,177,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000034.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000034_mask.png
celeba_full_hair_000035,train,male,high,1.0,1.0,1.0,0.319014,131,199,171,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000035.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000035_mask.png
celeba_full_hair_000037,train,male,high,1.0,1.0,1.0,0.276209,145,172,178,185,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000037.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000037_mask.png
celeba_full_hair_000038,train,male,high,1.0,1.0,1.0,0.215828,125,124,165,144,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000038.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000038_mask.png
celeba_full_hair_000039,train,female,high,1.0,1.0,1.0,0.331744,151,175,178,192,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000039.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000039_mask.png
celeba_full_hair_000040,train,male,high,1.0,1.0,1.0,0.232682,128,153,163,177,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000040.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000040_mask.png
celeba_full_hair_000041,train,female,high,1.0,1.0,1.0,0.360478,147,210,178,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000041.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000041_mask.png
celeba_full_hair_000042,train,male,high,1.0,1.0,1.0,0.306927,151,209,175,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000042.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000042_mask.png
celeba_full_hair_000048,train,male,high,1.0,1.0,1.0,0.202325,122,191,160,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000048.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000048_mask.png
celeba_full_hair_000049,train,female,high,1.0,1.0,1.0,0.377049,164,207,178,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000049.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000049_mask.png
celeba_full_hair_000051,train,female,high,1.0,1.0,1.0,0.222013,137,123,173,147,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000051.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000051_mask.png
celeba_full_hair_000053,train,male,high,1.0,1.0,1.0,0.319967,156,203,178,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000053.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000053_mask.png
celeba_full_hair_000055,train,female,high,1.0,1.0,1.0,0.242501,134,178,174,206,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000055.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000055_mask.png
celeba_full_hair_000056,train,female,high,1.0,1.0,1.0,0.330249,133,198,166,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000056.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000056_mask.png
celeba_full_hair_000059,train,female,high,1.0,1.0,1.0,0.275049,147,161,178,176,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000059.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000059_mask.png
celeba_full_hair_000062,train,male,high,1.0,1.0,1.0,0.245387,142,143,174,171,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000062.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000062_mask.png
celeba_full_hair_000064,train,male,high,1.0,1.0,1.0,0.192996,123,130,161,150,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000064.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000064_mask.png
celeba_full_hair_000065,train,female,high,1.0,1.0,1.0,0.249897,144,141,174,155,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000065.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000065_mask.png
celeba_full_hair_000068,train,male,high,1.0,1.0,1.0,0.20485,133,137,172,157,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000068.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000068_mask.png
celeba_full_hair_000070,train,female,high,1.0,1.0,1.0,0.243351,133,199,161,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000070.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000070_mask.png
celeba_full_hair_000071,train,female,high,1.0,1.0,1.0,0.286826,145,165,178,181,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000071.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000071_mask.png
celeba_full_hair_000072,train,female,high,1.0,1.0,1.0,0.205391,132,134,174,151,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000072.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000072_mask.png
celeba_full_hair_000074,train,male,high,1.0,1.0,1.0,0.184053,138,160,164,177,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000074.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000074_mask.png
celeba_full_hair_000075,train,female,high,1.0,1.0,1.0,0.250412,140,148,174,175,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000075.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000075_mask.png
celeba_full_hair_000076,train,female,high,1.0,1.0,1.0,0.239279,141,158,171,187,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000076.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000076_mask.png
celeba_full_hair_000077,train,male,high,1.0,1.0,1.0,0.240156,138,141,178,156,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000077.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000077_mask.png
celeba_full_hair_000078,train,female,high,1.0,1.0,1.0,0.365091,142,184,174,212,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000078.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000078_mask.png
celeba_full_hair_000079,train,female,high,1.0,1.0,1.0,0.27742,137,144,177,163,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000079.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000079_mask.png
celeba_full_hair_000081,train,female,high,1.0,1.0,1.0,0.309195,142,142,172,166,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000081.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000081_mask.png
celeba_full_hair_000082,train,male,high,1.0,1.0,1.0,0.212607,132,136,174,155,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000082.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000082_mask.png
celeba_full_hair_000084,train,male,high,1.0,1.0,1.0,0.190779,134,144,175,164,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000084.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000084_mask.png
celeba_full_hair_000085,train,male,high,1.0,1.0,1.0,0.239563,143,132,178,156,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000085.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000085_mask.png
celeba_full_hair_000088,train,male,high,1.0,1.0,1.0,0.242114,136,150,168,170,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000088.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000088_mask.png
celeba_full_hair_000089,train,male,high,1.0,1.0,1.0,0.251005,143,195,174,216,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000089.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000089_mask.png
celeba_full_hair_000090,train,male,high,1.0,1.0,1.0,0.23964,140,165,172,186,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000090.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000090_mask.png
celeba_full_hair_000091,train,female,high,1.0,1.0,1.0,0.38076,163,192,178,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000091.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000091_mask.png
celeba_full_hair_000093,train,male,high,1.0,1.0,1.0,0.217271,146,134,177,156,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000093.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000093_mask.png
celeba_full_hair_000094,train,female,high,1.0,1.0,1.0,0.26639,132,160,172,177,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000094.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000094_mask.png
celeba_full_hair_000095,train,female,high,1.0,1.0,1.0,0.229951,145,130,178,150,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000095.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000095_mask.png
celeba_full_hair_000096,train,female,high,1.0,1.0,1.0,0.23312,134,174,166,201,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000096.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000096_mask.png
celeba_full_hair_000097,train,male,high,1.0,1.0,1.0,0.182172,133,174,170,204,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000097.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000097_mask.png
celeba_full_hair_000099,train,female,high,1.0,1.0,1.0,0.251211,139,153,178,181,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000099.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000099_mask.png
celeba_full_hair_000100,train,female,high,1.0,1.0,1.0,0.19297,126,199,166,218,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000100.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000100_mask.png
celeba_full_hair_000101,train,female,high,1.0,1.0,1.0,0.28278,139,177,169,206,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000101.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000101_mask.png
celeba_full_hair_000102,train,male,high,1.0,1.0,1.0,0.246856,121,151,155,173,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000102.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000102_mask.png
celeba_full_hair_000103,train,female,high,1.0,1.0,1.0,0.260566,138,133,171,151,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000103.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000103_mask.png
celeba_full_hair_000104,train,female,high,1.0,1.0,1.0,0.247964,141,143,178,168,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000104.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000104_mask.png
celeba_full_hair_000105,train,female,high,1.0,1.0,1.0,0.262189,131,187,161,217,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000105.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000105_mask.png
celeba_full_hair_000109,train,female,high,1.0,1.0,1.0,0.212607,140,130,174,150,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000109.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000109_mask.png
celeba_full_hair_000110,train,male,high,1.0,1.0,1.0,0.252706,145,160,178,179,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000110.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000110_mask.png
celeba_full_hair_000111,train,male,high,1.0,1.0,1.0,0.185367,135,129,177,149,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000111.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000111_mask.png
celeba_full_hair_000112,train,male,high,1.0,1.0,1.0,0.255644,145,161,172,184,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000112.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000112_mask.png
celeba_full_hair_000114,train,male,high,1.0,1.0,1.0,0.183151,133,148,166,175,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000114.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000114_mask.png
celeba_full_hair_000115,train,male,high,1.0,1.0,1.0,0.310071,148,162,178,190,True,render_safe_candidate,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\images\celeba_full_hair_000115.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_full_hair_assets\masks\celeba_full_hair_000115_mask.png
