asset_id,gender_label,confidence_bucket,quality_score,length,curl,bang,volume,side_hair,color,style_family,labeling_status,labeling_notes
celeba_hair_000046,male,high,1.0,short,straight,,,,black,pompadour,reviewed_labeled,sample_reference
celeba_hair_000048,male,medium,1.0,short,,,,,black,side_part,reviewed_labeled,sample_reference
celeba_hair_000059,female,high,1.0,long,,,high,full,blonde,bob,reviewed_labeled,sample_reference
celeba_hair_000062,female,high,1.0,medium,wavy,,,partial,,bob,reviewed_labeled,sample_reference
celeba_hair_000065,female,high,1.0,long,,,,full,black,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000066,male,high,1.0,long,,,,full,black,long_layered,reviewed_labeled,sample_reference
celeba_hair_000068,male,medium,0.96,short,straight,,,,,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000070,male,high,1.0,short,straight,full_bangs,,,black,,reviewed_labeled,sample_reference
celeba_hair_000071,male,high,1.0,short,straight,side_bangs,,,brown,,reviewed_labeled,sample_reference
celeba_hair_000072,female,medium,0.96,short,,,,,black,,reviewed_labeled,sample_reference
celeba_hair_000074,female,high,1.0,medium,straight,full_bangs,,partial,,,reviewed_labeled,codex_visual_review
celeba_hair_000078,male,medium,0.96,short,,,,,black,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000079,female,high,1.0,long,wavy,,high,full,black,bob,reviewed_labeled,codex_visual_review
celeba_hair_000080,male,high,1.0,short,straight,,,,black,side_part,reviewed_labeled,sample_reference
celeba_hair_000081,male,medium,0.96,short,wavy,,,,brown,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000083,female,high,1.0,long,,,high,full,blonde,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000085,male,medium,0.96,long,straight,,,full,brown,bob,reviewed_labeled,codex_visual_review
celeba_hair_000087,female,high,1.0,long,,,high,full,blonde,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000088,male,high,1.0,short,straight,,,,blonde,,reviewed_labeled,sample_reference
celeba_hair_000089,male,medium,0.96,short,straight,,,,,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000090,female,high,1.0,short,wavy,,,,blonde,side_part,reviewed_labeled,codex_visual_review
celeba_hair_000091,female,medium,0.96,long,straight,,,full,blonde,long_layered,reviewed_labeled,sample_reference
celeba_hair_000092,male,high,1.0,,,,,,black,,reviewed_labeled,sample_reference
celeba_hair_000093,male,high,1.0,short,,,,,black,side_part,reviewed_labeled,sample_reference
celeba_hair_000094,female,high,1.0,long,straight,,,full,black,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000096,male,high,1.0,short,straight,,,,black,side_part,reviewed_labeled,sample_reference
celeba_hair_000099,female,high,1.0,long,wavy,,,full,brown,bob,reviewed_labeled,codex_visual_review
celeba_hair_000100,female,medium,0.96,medium,straight,side_bangs,,partial,brown,,reviewed_labeled,sample_reference
celeba_hair_000101,female,medium,0.96,short,,,,,black,side_part,reviewed_labeled,sample_reference
celeba_hair_000102,female,high,1.0,long,wavy,,high,full,blonde,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000105,male,high,1.0,short,,,,,black,side_part,reviewed_labeled,sample_reference
celeba_hair_000106,female,medium,0.96,medium,straight,side_bangs,,partial,,,reviewed_labeled,sample_reference
celeba_hair_000108,male,medium,1.0,short,straight,,,,black,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000112,female,high,1.0,long,straight,,,full,,bob,reviewed_labeled,codex_visual_review
celeba_hair_000115,female,high,1.0,long,,,,full,brown,bob,reviewed_labeled,codex_visual_review
celeba_hair_000118,male,medium,1.0,short,,,,,brown,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000120,female,medium,0.96,long,wavy,,,full,,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000123,male,high,1.0,short,straight,,,,black,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000124,female,high,1.0,long,straight,,,full,black,center_part,reviewed_labeled,codex_visual_review
celeba_hair_000127,male,medium,1.0,short,,,,,gray,,reviewed_labeled,codex_visual_review
celeba_hair_000128,male,medium,1.0,short,straight,,,,blonde,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000131,male,medium,0.96,short,straight,,,,,side_part,reviewed_labeled,codex_visual_review
celeba_hair_000132,male,medium,0.96,short,,,,,black,side_part,reviewed_labeled,codex_visual_review
celeba_hair_000133,female,medium,0.96,long,wavy,,,full,,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000134,female,high,1.0,long,,,,full,black,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000138,female,high,1.0,short,straight,,,,blonde,,reviewed_labeled,codex_visual_review
celeba_hair_000141,male,high,1.0,short,straight,,,,,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000142,female,high,1.0,long,straight,side_bangs,,full,black,,reviewed_labeled,codex_visual_review
celeba_hair_000148,female,high,1.0,long,wavy,,,full,,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000149,female,medium,0.96,long,wavy,,high,full,brown,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000152,female,medium,1.0,short,wavy,,,partial,brown,side_part,reviewed_labeled,codex_visual_review
celeba_hair_000153,female,high,1.0,short,wavy,,,partial,black,side_part,reviewed_labeled,codex_visual_review
celeba_hair_000154,female,high,1.0,long,straight,,,full,brown,center_part,reviewed_labeled,codex_visual_review
celeba_hair_000157,female,medium,0.96,long,wavy,,high,full,,updo,reviewed_labeled,codex_visual_review
celeba_hair_000161,male,high,1.0,short,curly,,,,black,curly_crop,reviewed_labeled,codex_visual_review
celeba_hair_000163,female,medium,0.96,long,wavy,,,full,brown,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000164,female,medium,1.0,short,straight,,,,,side_part,reviewed_labeled,codex_visual_review
celeba_hair_000168,male,medium,0.96,short,straight,,,,black,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000169,female,high,1.0,long,wavy,,high,full,blonde,bob,reviewed_labeled,codex_visual_review
celeba_hair_000170,female,high,1.0,long,straight,,,full,black,bob,reviewed_labeled,codex_visual_review
celeba_hair_000171,female,high,1.0,long,wavy,,,full,,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000174,female,high,1.0,long,wavy,,,full,brown,bob,reviewed_labeled,codex_visual_review
celeba_hair_000178,female,high,1.0,short,,,,,blonde,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000180,female,high,1.0,short,curly,,high,,brown,curly_crop,reviewed_labeled,codex_visual_review
celeba_hair_000181,male,medium,0.96,short,,,,,brown,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000185,male,medium,0.96,short,straight,,,,,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000186,male,medium,0.96,short,straight,,,,black,side_part,reviewed_labeled,codex_visual_review
celeba_hair_000187,male,high,1.0,short,,,,,black,,reviewed_labeled,codex_visual_review
celeba_hair_000188,female,high,1.0,long,wavy,,,full,,center_part,reviewed_labeled,codex_visual_review
celeba_hair_000189,female,high,1.0,long,wavy,,high,full,blonde,,reviewed_labeled,codex_visual_review
celeba_hair_000190,female,high,1.0,long,wavy,,,full,blonde,bob,reviewed_labeled,codex_visual_review
celeba_hair_000193,female,high,1.0,long,wavy,,,full,blonde,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000195,female,high,1.0,long,straight,,,full,brown,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000200,female,high,1.0,long,straight,,,full,black,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000205,female,high,1.0,long,wavy,,,full,black,center_part,reviewed_labeled,codex_visual_review
celeba_hair_000209,female,high,1.0,long,wavy,,,full,brown,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000210,female,high,1.0,long,wavy,,,full,black,center_part,reviewed_labeled,codex_visual_review
celeba_hair_000212,female,medium,0.96,long,wavy,,,full,blonde,bob,reviewed_labeled,codex_visual_review
celeba_hair_000213,female,medium,0.96,long,straight,,,full,brown,bob,reviewed_labeled,codex_visual_review
celeba_hair_000225,male,high,1.0,short,wavy,,,,,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000226,male,high,1.0,short,straight,,,,blonde,,reviewed_labeled,codex_visual_review
celeba_hair_000227,female,high,1.0,long,wavy,,high,full,blonde,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000231,female,high,1.0,long,,,,full,black,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000232,female,high,1.0,,wavy,,high,,brown,bob,reviewed_labeled,codex_visual_review
celeba_hair_000233,male,medium,1.0,,wavy,,,,brown,,reviewed_labeled,codex_visual_review
celeba_hair_000235,male,high,1.0,short,,,,,black,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000236,female,high,1.0,long,wavy,,high,full,brown,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000237,male,high,1.0,short,,,,,black,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000240,female,high,1.0,long,wavy,,,full,,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000241,female,high,1.0,long,straight,full_bangs,,full,brown,,reviewed_labeled,codex_visual_review
celeba_hair_000242,female,high,1.0,long,straight,,,full,brown,bob,reviewed_labeled,codex_visual_review
celeba_hair_000245,female,high,1.0,long,,full_bangs,,full,black,,reviewed_labeled,codex_visual_review
celeba_hair_000246,female,high,1.0,long,wavy,,,full,,long_layered,reviewed_labeled,codex_visual_review
celeba_hair_000249,male,high,1.0,short,,,,,black,pompadour,reviewed_labeled,codex_visual_review
celeba_hair_000250,female,medium,0.96,long,,,,full,blonde,long_layered,reviewed_labeled,codex_visual_review
