asset_id,image_path,mask_path,gender_label,confidence_bucket,quality_score,suggested_gender,suggested_color,suggested_curl,suggested_bang,source_color_hint,source_texture_hint,source_positive_fields,label_gender,label_length,label_curl,label_bang,label_volume,label_side_hair,label_color,label_style_family,label_notes
celeba_hair_000015,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000015.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000015_mask.png,male,medium,1.0,male,brown,straight,,Brown_Hair,Straight_Hair,"Male,Brown_Hair,Straight_Hair",male,short,straight,,,,brown,pompadour,sample_reference
celeba_hair_000016,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000016.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000016_mask.png,female,high,1.0,female,blonde,,,Blond_Hair,,Blond_Hair,female,medium,wavy,,,partial,blonde,bob,sample_reference; ai_review_completed_key_fields
celeba_hair_000018,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000018.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000018_mask.png,female,high,1.0,female,,straight,,,Straight_Hair,Straight_Hair,female,long,straight,,,full,brown,center_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000023,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000023.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000023_mask.png,male,medium,1.0,male,brown,straight,,Brown_Hair,Straight_Hair,"Male,Brown_Hair,Straight_Hair",male,short,straight,,,,brown,pompadour,sample_reference
celeba_hair_000024,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000024.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000024_mask.png,male,high,1.0,male,black,straight,,Black_Hair,Straight_Hair,"Male,Black_Hair,Brown_Hair,Straight_Hair",male,short,straight,,,,black,side_part,sample_reference
celeba_hair_000025,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000025.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000025_mask.png,female,high,1.0,female,brown,wavy,,Brown_Hair,Wavy_Hair,"Brown_Hair,Wavy_Hair",female,long,wavy,,high,full,brown,long_layered,sample_reference
celeba_hair_000027,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000027.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000027_mask.png,female,high,1.0,female,black,,,Black_Hair,,Black_Hair,female,medium,straight,,,partial,black,updo,sample_reference; ai_review_completed_key_fields
celeba_hair_000029,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000029.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000029_mask.png,female,high,1.0,female,brown,wavy,,Brown_Hair,Wavy_Hair,"Brown_Hair,Wavy_Hair",female,long,wavy,,high,full,brown,center_part,sample_reference
celeba_hair_000032,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000032.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000032_mask.png,male,high,1.0,male,,,bangs,,,"Male,Bangs",male,medium,straight,,,partial,black,bob,sample_reference; ai_review_completed_key_fields
celeba_hair_000035,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000035.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000035_mask.png,male,high,1.0,male,brown,straight,,Brown_Hair,Straight_Hair,"Male,Brown_Hair,Straight_Hair",male,short,straight,,,,brown,pompadour,sample_reference
celeba_hair_000037,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000037.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000037_mask.png,male,high,1.0,male,black,wavy,,Black_Hair,Wavy_Hair,"Male,Black_Hair,Wavy_Hair",male,short,wavy,,,,black,side_part,sample_reference
celeba_hair_000039,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000039.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000039_mask.png,female,medium,1.0,female,black,,,Black_Hair,,Black_Hair,female,long,straight,,,full,black,long_layered,sample_reference; ai_review_completed_key_fields
celeba_hair_000040,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000040.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000040_mask.png,female,medium,0.96,female,black,,,Black_Hair,,Black_Hair,female,long,wavy,side_bangs,high,full,black,long_layered,sample_reference; ai_review_completed_key_fields
celeba_hair_000042,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000042.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000042_mask.png,male,medium,1.0,male,brown,straight,,Brown_Hair,Straight_Hair,"Male,Brown_Hair,Straight_Hair",male,short,straight,,,,brown,side_part,sample_reference
celeba_hair_000043,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000043.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000043_mask.png,male,medium,1.0,male,black,straight,,Black_Hair,Straight_Hair,"Male,Black_Hair,Straight_Hair",male,short,straight,,,,black,side_part,sample_reference
celeba_hair_000046,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000046.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000046_mask.png,male,high,1.0,male,black,straight,,Black_Hair,Straight_Hair,"Male,Black_Hair,Straight_Hair",male,short,straight,,,,black,pompadour,sample_reference
celeba_hair_000048,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000048.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000048_mask.png,male,medium,1.0,male,black,,,Black_Hair,,"Male,Black_Hair",male,short,straight,,,,black,side_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000059,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000059.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000059_mask.png,female,high,1.0,female,blonde,,,Blond_Hair,,Blond_Hair,female,long,wavy,,high,full,blonde,bob,sample_reference; ai_review_completed_key_fields
celeba_hair_000062,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000062.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000062_mask.png,female,high,1.0,female,,wavy,,,Wavy_Hair,Wavy_Hair,female,medium,wavy,,,partial,brown,bob,sample_reference; ai_review_completed_key_fields
celeba_hair_000065,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000065.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000065_mask.png,female,high,1.0,female,black,,,Black_Hair,,Black_Hair,female,long,straight,,,full,black,long_layered,codex_visual_review; ai_review_completed_key_fields
celeba_hair_000066,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000066.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000066_mask.png,male,high,1.0,male,black,,,Black_Hair,,"Male,Black_Hair",male,long,straight,,,full,black,long_layered,sample_reference; ai_review_completed_key_fields
celeba_hair_000068,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000068.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000068_mask.png,male,medium,0.96,male,,straight,,,Straight_Hair,"Male,Straight_Hair",male,short,straight,,,,brown,pompadour,codex_visual_review; ai_review_completed_key_fields
celeba_hair_000070,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000070.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000070_mask.png,male,high,1.0,male,black,straight,bangs,Black_Hair,Straight_Hair,"Male,Bangs,Black_Hair,Straight_Hair",male,short,straight,full_bangs,,,black,side_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000071,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000071.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000071_mask.png,male,high,1.0,male,brown,straight,bangs,Brown_Hair,Straight_Hair,"Male,Bangs,Brown_Hair,Straight_Hair",male,short,straight,side_bangs,,,brown,side_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000072,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000072.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000072_mask.png,female,medium,0.96,female,black,,,Black_Hair,,Black_Hair,female,short,straight,,,,black,pompadour,sample_reference; ai_review_completed_key_fields
celeba_hair_000074,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000074.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000074_mask.png,female,high,1.0,female,,straight,bangs,,Straight_Hair,"Bangs,Straight_Hair",female,medium,straight,full_bangs,,partial,brown,bob,codex_visual_review; ai_review_completed_key_fields
celeba_hair_000078,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000078.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000078_mask.png,male,medium,0.96,male,black,,,Black_Hair,,"Male,Black_Hair",male,short,straight,,,,black,pompadour,codex_visual_review; ai_review_completed_key_fields
celeba_hair_000079,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000079.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000079_mask.png,female,high,1.0,female,black,wavy,bangs,Black_Hair,Wavy_Hair,"Bangs,Black_Hair,Wavy_Hair",female,long,wavy,,high,full,black,bob,codex_visual_review
celeba_hair_000080,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000080.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000080_mask.png,male,high,1.0,male,black,straight,,Black_Hair,Straight_Hair,"Male,Black_Hair,Straight_Hair",male,short,straight,,,,black,side_part,sample_reference
celeba_hair_000081,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000081.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000081_mask.png,male,medium,0.96,male,brown,wavy,,Brown_Hair,Wavy_Hair,"Male,Brown_Hair,Wavy_Hair",male,short,wavy,,,,brown,pompadour,codex_visual_review
celeba_hair_000083,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000083.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000083_mask.png,female,high,1.0,female,blonde,,,Blond_Hair,,Blond_Hair,female,long,straight,,high,full,blonde,long_layered,codex_visual_review; ai_review_completed_key_fields
celeba_hair_000085,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000085.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000085_mask.png,male,medium,0.96,male,brown,straight,,Brown_Hair,Straight_Hair,"Male,Brown_Hair,Straight_Hair",male,long,straight,,,full,brown,bob,codex_visual_review
celeba_hair_000087,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000087.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000087_mask.png,female,high,1.0,female,blonde,,,Blond_Hair,,Blond_Hair,female,long,wavy,,high,full,blonde,long_layered,codex_visual_review; ai_review_completed_key_fields
celeba_hair_000088,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000088.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000088_mask.png,male,high,1.0,male,blonde,straight,,Blond_Hair,Straight_Hair,"Male,Blond_Hair,Straight_Hair",male,short,straight,,,,blonde,side_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000089,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000089.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000089_mask.png,male,medium,0.96,male,,straight,,,Straight_Hair,"Male,Straight_Hair",male,short,straight,,,,brown,pompadour,codex_visual_review; ai_review_completed_key_fields
celeba_hair_000090,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000090.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000090_mask.png,female,high,1.0,female,blonde,wavy,,Blond_Hair,Wavy_Hair,"Blond_Hair,Wavy_Hair",female,short,wavy,,,,blonde,side_part,codex_visual_review
celeba_hair_000091,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000091.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000091_mask.png,female,medium,0.96,female,blonde,straight,,Blond_Hair,Straight_Hair,"Blond_Hair,Straight_Hair",female,long,straight,,,full,blonde,long_layered,sample_reference
celeba_hair_000092,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000092.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000092_mask.png,male,high,1.0,male,black,,,Black_Hair,,"Male,Black_Hair",male,short,straight,,,,black,side_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000093,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000093.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000093_mask.png,male,high,1.0,male,black,,,Black_Hair,,"Male,Black_Hair",male,short,straight,,,,black,side_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000094,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000094.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000094_mask.png,female,high,1.0,female,black,straight,,Black_Hair,Straight_Hair,"Black_Hair,Straight_Hair",female,long,straight,,,full,black,long_layered,codex_visual_review
celeba_hair_000096,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000096.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000096_mask.png,male,high,1.0,male,black,straight,,Black_Hair,Straight_Hair,"Male,Black_Hair,Straight_Hair",male,short,straight,,,,black,side_part,sample_reference
celeba_hair_000099,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000099.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000099_mask.png,female,high,1.0,female,brown,wavy,bangs,Brown_Hair,Wavy_Hair,"Bangs,Brown_Hair,Wavy_Hair",female,long,wavy,,,full,brown,bob,codex_visual_review
celeba_hair_000100,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000100.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000100_mask.png,female,medium,0.96,female,brown,straight,,Brown_Hair,Straight_Hair,"Brown_Hair,Straight_Hair",female,medium,straight,side_bangs,,partial,brown,side_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000101,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000101.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000101_mask.png,female,medium,0.96,female,black,,,Black_Hair,,Black_Hair,female,short,straight,,,,black,side_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000102,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000102.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000102_mask.png,female,high,1.0,female,blonde,wavy,bangs,Blond_Hair,Wavy_Hair,"Bangs,Blond_Hair,Brown_Hair,Wavy_Hair",female,long,wavy,,high,full,blonde,long_layered,codex_visual_review
celeba_hair_000105,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000105.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000105_mask.png,male,high,1.0,male,black,,,Black_Hair,,"Male,Black_Hair",male,short,straight,,,,black,side_part,sample_reference; ai_review_completed_key_fields
celeba_hair_000106,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000106.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000106_mask.png,female,medium,0.96,female,,straight,bangs,,Straight_Hair,"Bangs,Straight_Hair",female,medium,straight,side_bangs,,partial,blonde,bob,sample_reference; ai_review_completed_key_fields
celeba_hair_000108,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000108.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000108_mask.png,male,medium,1.0,male,black,straight,,Black_Hair,Straight_Hair,"Male,Black_Hair,Straight_Hair",male,short,straight,,,,black,pompadour,codex_visual_review
celeba_hair_000112,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000112.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000112_mask.png,female,high,1.0,female,,straight,,,Straight_Hair,"Straight_Hair,Wavy_Hair",female,long,straight,,,full,brown,bob,codex_visual_review; ai_review_completed_key_fields
celeba_hair_000115,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000115.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000115_mask.png,female,high,1.0,female,brown,,,Brown_Hair,,Brown_Hair,female,long,wavy,,,full,brown,bob,codex_visual_review; ai_review_completed_key_fields
celeba_hair_000118,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\images\celeba_hair_000118.png,D:\Projects\Personal Projects\Hairstyle Recommender Live Tryon\backend\data\processed\celeba_hair_rich_assets\masks\celeba_hair_000118_mask.png,male,medium,1.0,male,brown,,,Brown_Hair,,"Male,Brown_Hair",male,short,wavy,,,,brown,pompadour,codex_visual_review; ai_review_completed_key_fields
