asset_id,source_hq_id,image_path,mask_path,color_hint,texture_hint,bangs_hint,male_hint,length,curl,bang,volume,side_hair,color,style_family,gender_suitability,review_status,notes
celebamask_hair_000033,66,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000033.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000033_mask.png,Brown_Hair,Wavy_Hair,no,no,long,wavy,none,medium,exposed,brown,long_wave,female,approved,
celebamask_hair_000034,68,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000034.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000034_mask.png,Blond_Hair,Wavy_Hair,no,no,medium,wavy,none,medium,exposed,brown,long_wave,female,approved,
celebamask_hair_000035,69,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000035.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000035_mask.png,Black_Hair,Straight_Hair,no,no,short,straight,none,medium,exposed,black,pixie,female,approved,
celebamask_hair_000036,70,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000036.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000036_mask.png,Blond_Hair,Straight_Hair,no,no,medium,straight,none,medium,exposed,brown,other,neutral,approved,
celebamask_hair_000037,71,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000037.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000037_mask.png,Blond_Hair,Wavy_Hair,no,no,medium,wavy,none,high,exposed,brown,layered,female,approved,
celebamask_hair_000038,75,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000038.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000038_mask.png,Black_Hair,Wavy_Hair,no,yes,short,wavy,none,medium,exposed,black,regent,male,approved,
celebamask_hair_000039,77,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000039.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000039_mask.png,Blond_Hair,Straight_Hair,no,no,short,straight,none,low,exposed,brown,side_part,male,approved,
celebamask_hair_000040,82,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000040.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000040_mask.png,Blond_Hair,Wavy_Hair,no,no,long,wavy,none,high,covered,brown,long_wave,female,approved,
celebamask_hair_000041,85,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000041.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000041_mask.png,Colored_Hair,Straight_Hair,no,no,medium,straight,none,low,covered,brown,other,neutral,approved,
celebamask_hair_000042,86,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000042.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000042_mask.png,Black_Hair,Wavy_Hair,no,no,long,wavy,none,medium,covered,black,layered,female,approved,
celebamask_hair_000043,88,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000043.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000043_mask.png,Black_Hair,Wavy_Hair,no,no,long,wavy,none,medium,exposed,black,long_wave,female,approved,
celebamask_hair_000044,89,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000044.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000044_mask.png,Black_Hair,Straight_Hair,no,yes,short,straight,none,low,exposed,black,pixie,female,approved,
celebamask_hair_000045,91,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000045.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000045_mask.png,Blond_Hair,Wavy_Hair,no,no,long,wavy,none,medium,covered,brown,long_wave,female,approved,
celebamask_hair_000046,92,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000046.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000046_mask.png,Black_Hair,Wavy_Hair,no,yes,short,wavy,none,high,exposed,black,pixie,female,approved,
celebamask_hair_000047,97,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000047.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000047_mask.png,Gray_Hair,Wavy_Hair,no,yes,short,wavy,none,medium,exposed,other,pixie,female,approved,
celebamask_hair_000048,100,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000048.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000048_mask.png,Brown_Hair,Wavy_Hair,no,yes,short,wavy,none,medium,covered,brown,pixie,female,approved,
celebamask_hair_000049,101,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000049.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000049_mask.png,Brown_Hair,Wavy_Hair,no,no,medium,wavy,none,medium,exposed,brown,layered,female,approved,
celebamask_hair_000050,102,backend/data/processed/celebamask_hq_hair_assets/images/celebamask_hair_000050.png,backend/data/processed/celebamask_hq_hair_assets/masks/celebamask_hair_000050_mask.png,Black_Hair,Wavy_Hair,no,no,long,wavy,none,low,covered,black,long_wave,female,approved,
